[10:03:08] [ info] [             main] hello MA start
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (4)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.65, gain 0.00097, curr_depth 2, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (3) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (3) or min_samples (1)-> leaf
[10:03:08] [debug] [            train] [1mTree  1[0m: receives pb 0.10 and will train on 66 instances
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 2, val 0.35, gain 0.00483, curr_depth 0, samples 66 ->(36,30)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 5, val 0.05, gain 0.00346, curr_depth 1, samples 36 ->(1,35)
[10:03:08] [debug] [    make_tree_DFS] max_depth (2) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 0.18, gain 0.00347, curr_depth 2, samples 35 ->(4,31)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 5, val 0.06, gain 0.00070, curr_depth 3, samples 4 ->(1,3)
[10:03:08] [debug] [    make_tree_DFS] max_depth (4) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.31, gain 0.00057, curr_depth 4, samples 3 ->(1,2)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.32, gain 0.00037, curr_depth 5, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.43, gain 0.00278, curr_depth 3, samples 31 ->(18,13)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.41, gain 0.00181, curr_depth 4, samples 18 ->(13,5)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 6, val 0.06, gain 0.00114, curr_depth 5, samples 13 ->(10,3)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (10)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (3)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 3, val 0.10, gain 0.00066, curr_depth 5, samples 5 ->(4,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (4)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 6, val 0.06, gain 0.00099, curr_depth 4, samples 13 ->(1,12)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 3, val 0.10, gain 0.00097, curr_depth 5, samples 12 ->(5,7)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (5)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (7)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.50, gain 0.00143, curr_depth 1, samples 30 ->(23,7)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 5, val 0.22, gain 0.00128, curr_depth 2, samples 23 ->(5,18)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 0.48, gain 0.00016, curr_depth 3, samples 5 ->(4,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 3, val 0.10, gain 0.00017, curr_depth 4, samples 4 ->(2,2)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 3.00, gain 0.00004, curr_depth 5, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 3.00, gain 0.00012, curr_depth 5, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (4) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 6, val 0.09, gain 0.00114, curr_depth 3, samples 18 ->(1,17)
[10:03:08] [debug] [    make_tree_DFS] max_depth (4) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.48, gain 0.00113, curr_depth 4, samples 17 ->(10,7)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 5, val 0.32, gain 0.00080, curr_depth 5, samples 10 ->(9,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (9)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 0.65, gain 0.00036, curr_depth 5, samples 7 ->(5,2)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (5)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (2)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 3.00, gain 0.00018, curr_depth 2, samples 7 ->(4,3)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.50, gain 0.00017, curr_depth 3, samples 4 ->(2,2)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 2, val 0.35, gain 0.00004, curr_depth 4, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 2, val 0.38, gain 0.00012, curr_depth 4, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.50, gain 0.00003, curr_depth 3, samples 3 ->(2,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 2.00, gain 0.00001, curr_depth 4, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (4) or min_samples (1)-> leaf
[10:03:08] [debug] [            train] [1mTree  2[0m: receives pb 0.10 and will train on 66 instances
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.59, gain 0.00039, curr_depth 0, samples 66 ->(31,35)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 1.12, gain 0.00042, curr_depth 1, samples 31 ->(25,6)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 0.72, gain 0.00044, curr_depth 2, samples 25 ->(6,19)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 1.00, gain 0.00021, curr_depth 3, samples 6 ->(4,2)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 7, val 0.19, gain 0.00017, curr_depth 4, samples 4 ->(2,2)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.51, gain 0.00012, curr_depth 5, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.51, gain 0.00004, curr_depth 5, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.52, gain 0.00004, curr_depth 4, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 0.73, gain 0.00030, curr_depth 3, samples 19 ->(1,18)
[10:03:08] [debug] [    make_tree_DFS] max_depth (4) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 7, val 0.21, gain 0.00030, curr_depth 4, samples 18 ->(5,13)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.54, gain 0.00015, curr_depth 5, samples 5 ->(4,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (4)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 6, val 0.21, gain 0.00017, curr_depth 5, samples 13 ->(5,8)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (5)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (8)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 6, val 0.26, gain 0.00003, curr_depth 2, samples 6 ->(5,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.57, gain 0.00005, curr_depth 3, samples 5 ->(2,3)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 1.19, gain 0.00000, curr_depth 4, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 2, val 0.47, gain 0.00005, curr_depth 4, samples 3 ->(2,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 2.00, gain 0.00004, curr_depth 5, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (3) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 3, val 0.17, gain 0.00006, curr_depth 1, samples 35 ->(21,14)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 2, val 0.47, gain 0.00005, curr_depth 2, samples 21 ->(6,15)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 1.04, gain 0.00008, curr_depth 3, samples 6 ->(2,4)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 2.00, gain 0.00001, curr_depth 4, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.61, gain 0.00008, curr_depth 4, samples 4 ->(3,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 2.00, gain 0.00006, curr_depth 5, samples 3 ->(2,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (2)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 2, val 0.49, gain 0.00005, curr_depth 3, samples 15 ->(7,8)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.61, gain 0.00007, curr_depth 4, samples 7 ->(4,3)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.61, gain 0.00001, curr_depth 5, samples 4 ->(3,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (3)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 2.00, gain 0.00007, curr_depth 5, samples 3 ->(1,2)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (2)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 6, val 0.28, gain 0.00003, curr_depth 4, samples 8 ->(4,4)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.63, gain 0.00002, curr_depth 5, samples 4 ->(1,3)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (3)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 1.25, gain 0.00002, curr_depth 5, samples 4 ->(1,3)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (3)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 6, val 0.34, gain 0.00010, curr_depth 2, samples 14 ->(13,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 5, val 0.58, gain 0.00011, curr_depth 3, samples 13 ->(4,9)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 3, val 0.17, gain 0.00001, curr_depth 4, samples 4 ->(3,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 1.00, gain 0.00001, curr_depth 5, samples 3 ->(1,2)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (2)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 2, val 0.52, gain 0.00011, curr_depth 4, samples 9 ->(7,2)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 2, val 0.48, gain 0.00012, curr_depth 5, samples 7 ->(1,6)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (6)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.63, gain 0.00000, curr_depth 5, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (3) or min_samples (1)-> leaf
[10:03:08] [debug] [            train] [1mTree  3[0m: receives pb 0.10 and will train on 66 instances
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 1.37, gain 0.00555, curr_depth 0, samples 66 ->(48,18)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:09] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.25, gain 0.00574, curr_depth 1, samples 48 ->(7,41)
[10:03:09] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:09] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.25, gain 0.00205, curr_depth 2, samples 7 ->(6,1)
[10:03:09] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:09] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.19, gain 0.00184, curr_depth 3, samples 6 ->(1,5)
[10:03:09] [debug] [    make_tree_DFS] max_depth (4) or min_samples (1)-> leaf
[10:03:09] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:09] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.22, gain 0.00154, curr_depth 4, samples 5 ->(4,1)
[10:03:09] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:09] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.20, gain 0.00125, curr_depth 5, samples 4 ->(3,1)
